year,month,day,duty cycle [day],tds_fit [/day],svm_fit [/day],cnn_fit [/day]
2020,12,29,0.061783939373060794,207.37435916097408,209.35612476175754,197.32150144090753
2020,12,30,0.06211887244642308,212.38885505773806,212.73227561786237,200.66767930671978
2020,12,31,0.0620964471218567,217.60277510382477,216.24269440963315,204.14693309643553
2021,1,1,0.06215431892718928,223.00462701865408,219.8796436348926,207.75159400032865
2021,1,2,0.06220061637145533,228.59880860369447,223.64608423757178,211.48459667548823
2021,1,3,0.06216589328825579,234.38898202814252,227.5444818764174,215.34838489089105
2021,1,4,0.06221219073252185,240.37674125308686,231.57590973070901,219.34402229828268
2021,1,5,0.06184181117839337,246.5633545478772,235.741221698573,223.47235521500255
2021,1,6,0.06221219073252185,252.94927325922635,240.04072166191938,227.73368482513996
2021,1,7,0.06221219073252185,259.53367437327273,244.47385550344288,232.12746193076484
2021,1,8,0.06220061637145533,266.31426911729164,249.03908224232458,236.65215923166826
2021,1,9,0.06246537988085187,273.28702825304845,253.73368908023022,241.30508801335628
2021,1,10,0.05424903031875956,280.4459020347392,258.5536028550922,246.08221127471867
2021,1,11,0.0618649599005264,287.78251526505187,263.493184728998,250.9779402386491
2021,1,12,0.06221219073252185,295.2858284460102,268.5450020484344,255.98490823768225
2021,1,13,0.06221219073252185,302.9418121134267,273.69960908076905,261.09375339706537
2021,1,14,0.06202700095545761,310.73302604719953,278.94526370570907,266.2928378413907
2021,1,15,0.06214274456612276,318.63844067650206,284.26780717130595,271.5681285181089
2021,1,16,0.06213117020505624,326.63234289989134,289.6499274064687,276.90246705025027
2021,1,17,0.05275593774117913,334.6980223589087,295.08037369085025,282.28470259977325
2021,1,18,0.06185266214189323,342.7934868071451,300.5308735596641,287.68681370083937
2021,1,19,0.061783939373060794,350.8681331776941,305.9673570702529,293.07503287892837
2021,1,20,0.06213117020505624,358.87135785239457,311.3557539088117,298.4155922916676
2021,1,21,0.06213117020505624,366.7525572130855,316.66199376153565,303.67472409668443
2021,1,22,0.06218904201038882,374.4611276416055,321.8520063146194,308.8186604516059
2021,1,23,0.06218904201038882,381.94646551979366,326.89172125425824,313.81363351405935
2021,1,24,0.0620964471218567,389.1513529611148,331.74261502382996,318.62146173411554
2021,1,25,0.062177467649322304,395.9926846381534,336.348734616676,323.1866888480034
2021,1,26,0.05211934788252081,402.39581677154627,340.659824002123,327.45950499098956
2021,1,27,0.06218904201038882,408.28416934226766,344.62432352150984,331.38880824377753
2021,1,28,0.06218831861282217,413.5796921748341,348.18968369185706,334.9225156502732
2021,1,29,0.06220061637145533,418.2046901016027,351.30359404923104,338.0087811514511
2021,1,30,0.05392494820889714,422.08301346080947,353.9147846851407,340.5967900058238
2021,1,31,nan,425.1444064496815,355.975953897967,342.639660449596
2021,2,1,nan,427.32218851485163,357.4422071236359,344.0928964862908
2021,2,2,nan,428.5596650539519,358.2753731213565,344.9186657539995
2021,2,3,nan,428.81026294395457,358.44409522190034,345.08588996357304
2021,2,4,nan,428.0397548424326,357.9253289011885,344.57172917696124
2021,2,5,nan,426.2279714412748,356.7054946034193,343.3627243957403
2021,2,6,0.005416800979129875,423.37006024848625,354.7813252514349,341.45563754740175
2021,2,7,0.06208414936322353,419.4772092066634,352.16035344327764,338.85793435664675
2021,2,8,0.06220061637145533,414.576877034131,348.8610665358599,335.587938052245
2021,2,9,0.06185266214189323,408.71236534543243,344.9126185630111,331.67454384263283
2021,2,10,0.06220061637145533,401.94182502805967,340.35416125057384,327.15655587016226
2021,2,11,0.06217674425175565,394.3366871101073,335.23378755377615,322.08164012759994
2021,2,12,0.06220061637145533,385.97962674672743,329.6071608536621,316.50496582435744
2021,2,13,nan,376.962159841813,323.5358968148241,310.48760160986245
2021,2,14,0.06202700095545761,367.3820184716714,317.08579631533394,304.09476419128816
2021,2,15,0.062108021482923215,357.34043413964866,310.3250163212601,297.3940054467879
2021,2,16,0.06177236501199428,346.93946634852205,303.32227127265173,290.4534297793207
2021,2,17,0.062108021482923215,336.2795267095319,296.1451661200824,283.34004195226066
2021,2,18,0.06246682667598518,325.45716436301643,288.85870529660383,276.118269298487
2021,2,19,0.06177164161442763,314.5632108768406,281.52404371826776,268.84872380934735
2021,2,20,0.06214274456612276,303.68132258035155,274.19750536933077,261.5872294327238
2021,2,21,0.062108021482923215,292.8869204338957,266.9298695394929,254.3841146469571
2021,2,22,0.06179551373412731,282.24654875229055,259.7659390663805,247.2837845364111
2021,2,23,0.06211959584398973,271.8175728580391,252.74433677204107,240.32451903517608
2021,2,24,0.06214274456612276,261.6482349441178,245.89754307414194,233.5385102043605
2021,2,25,0.062108021482923215,251.77785244165182,239.25202954260476,226.95199460302825
2021,2,26,0.06210729808535656,242.23767266766322,232.82883431531758,220.5858235954517
2021,2,27,0.06211959584398973,233.05018871115354,226.64310149913626,214.45500684124565
2021,2,28,0.06206172403865715,224.25708382636358,220.72289552115132,208.58735961548211
2021,3,1,0.062108021482923215,215.86216681530354,215.0707807647887,202.98542353535328
2021,3,2,0.06177164161442763,207.85578849190745,209.68026064325932,197.64275968984967
